"","lat","lon","num_flr","retrofit","struc_type","occ_day","class"
"1131",27.7755345,85.3637729,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",520,"Non-retrofitted URM"
"1132",27.7800986,85.3525636,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",318,"Non-retrofitted URM"
"1133",27.7765978,85.3628157,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",90,"Non-retrofitted URM"
"1134",27.7766162,85.3626819,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",20,"Non-retrofitted URM"
"1135",27.7678786,85.3524873,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",15,"Non-retrofitted URM"
"1136",27.7828251,85.3557838,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",125,"Non-retrofitted URM"
"1137",27.7753609,85.364181,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",80,"Non-retrofitted URM"
"1138",27.7679551,85.3527684,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",70,"Non-retrofitted URM"
"1139",27.7768526,85.3624784,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",135,"Non-retrofitted URM"
"1140",27.6709636,85.4046212,1,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",33,"Non-retrofitted URM"
"1141",27.6711998,85.4046257,1,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",35,"Non-retrofitted URM"
"1142",27.671146,85.4048939,1,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",12,"Non-retrofitted URM"
"1143",27.6684179,85.404119,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",50,"Non-retrofitted URM"
"1144",27.6693635,85.4066079,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",40,"Non-retrofitted URM"
"1145",27.6693183,85.4067136,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",230,"Non-retrofitted URM"
"1146",27.6710256,85.4047974,1,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",30,"Non-retrofitted URM"
"1147",27.6710327,85.4049929,1,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",30,"Non-retrofitted URM"
"1148",27.6683276,85.4039708,1,"No","Mixed",170,"Non-retrofitted URM"
"1149",27.6694785,85.4043539,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",60,"Non-retrofitted URM"
"1150",27.6682633,85.4041167,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",130,"Non-retrofitted URM"
"1151",27.672909,85.3310137,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",5,"Non-retrofitted URM"
"1152",27.6708183,85.3435256,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",200,"Non-retrofitted URM"
"1153",27.6707079,85.3435756,3,"No","Mixed",300,"Non-retrofitted URM"
"1154",27.6713791,85.3377662,3,"No","Mixed",155,"Non-retrofitted URM"
"1155",27.6828219,85.3666167,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",40,"Non-retrofitted URM"
"1156",27.6813659,85.3666745,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",4,"Non-retrofitted URM"
"1157",27.6747049,85.3870032,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",400,"Non-retrofitted URM"
"1158",27.6829685,85.3670587,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",4,"Non-retrofitted URM"
"1159",27.6829165,85.3666882,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",70,"Non-retrofitted URM"
"1160",27.6810455,85.36672,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",20,"Non-retrofitted URM"
"1161",27.674706,85.387244,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",360,"Non-retrofitted URM"
"1162",27.7012142,85.4411627,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",276,"Non-retrofitted URM"
"1163",27.6723743,85.3397443,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",40,"Non-retrofitted URM"
"1164",27.7012763,85.4509873,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",10,"Non-retrofitted URM"
"1165",27.6808679,85.3828357,2,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",70,"Non-retrofitted URM"
