@id,building_usage,age,bays_x,bays_y,building_condition,floor_material,floor_material_others,num_floors,neighbour_attachement,overhang,owner_rent,retrofit,roof_material,roof_material_others,roof_slope,roof_slope_others,shape_elevation,shape_plan,soft_storey,structur_type,structure_others,column_size,earthquake_resistant_element,occupants_day,occupants_evening,occupants_morning,occupants_night,facility_number,operator_name,Lat,Lon
221603201,school,1990-2000,1,1,Average,RCC/RBC,,2,One_Side_Different_Height,No,Self,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,100,0,0,0,3,Bidya Mandir Ma.V.,85.2613791,27.6939595
221603202,school,After_2000,2,1,Average,N/A,,1,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,60,0,0,0,5,Sundar Ban School of Science,85.271478,27.6890021
221603203,school,After_2000,2,1,Average,N/A,,1,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,20,0,0,0,4,Basic Learning English Secondary School,85.2463565,27.6767406
221603204,school,After_2000,2,2,Good,RCC/RBC,,3,One_Side_Different_Height,No,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,Yes,Non_Engineered_RC_Frame,,9x9,No,25,0,0,3,2,Dibya Jyoti Academy,85.263872,27.6943768
221603205,school,1990-2000,3,1,Poor,RCC/RBC,,2,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,60,0,0,0,3,Sundar Ban School of Science,85.271411,27.6890037
221603206,school,1960-1990,5,1,Poor,RCC/RBC,,2,One_Side_Different_Height,No,Self,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,100,0,0,0,2,Bidya Mandir Ma.V.,85.2614137,27.693877
221603207,school,After_2000,2,2,Average,RCC/RBC,,4,Two_Sides_Different_Height,No,Rent,No,RCC/RBC,,Flat,,Setback,Rectangular,Yes,Non_Engineered_RC_Frame,,9x9,No,25,0,0,0,1,Dibya Jyoti Academy,85.2639597,27.6943442
221603208,school,1960-1990,1,1,Poor,RCC/RBC,,2,Two_Sides_Different_Height,No,Self,No,RCC/RBC,,Flat,,Regular,L-Shaped,No,Load_Bearing_Stone_Wall_in_Cement_Mortar,,,No,420,0,0,1,1,Prabhat Higher Sec. School,85.2263826,27.6889799
221603209,school,After_2000,3,3,Average,RCC/RBC,,3,One_Side_Different_Height,No,Self,No,CGI,,Flat,,Regular,Rectangular,No,Non_Engineered_RC_Frame,,9x9,No,50,0,0,0,2,Bishnudevi Ma.V.,85.2671255,27.6862076
221605641,kindergarten,1960-1990,2,2,Average,RCC/RBC,,4,Free_Standing,Yes,Rent,No,CGI,,Flat,,Setback,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,70,5,5,5,1,Holy Smile Pre-School,85.2991064,27.6959176
