#,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-22T12:41:52', checksum=3502110342"
site_id,lon,lat
425,85.34094,27.73574
426,85.34112,27.73615
427,85.34071,27.73814
428,85.33458,27.73796
429,85.33425,27.73824
430,85.33478,27.73811
431,85.33854,27.74094
432,85.33856,27.74085
433,85.33287,27.72426
434,85.33259,27.72423
435,85.33293,27.72421
436,85.33504,27.72611
437,85.33385,27.72268
438,85.33510,27.71875
439,85.33568,27.72064
440,85.33559,27.72086
441,85.33579,27.72082
442,85.33586,27.72041
443,85.33327,27.71733
444,85.33313,27.71735
445,85.33210,27.71694
446,85.33203,27.71700
447,85.33558,27.71422
448,85.33542,27.71419
449,85.33552,27.71424
450,85.33517,27.71373
451,85.35382,27.72433
452,85.34931,27.72417
453,85.34342,27.74174
454,85.32978,27.71203
455,85.42218,27.69633
456,85.42217,27.69642
457,85.41093,27.68175
458,85.30367,27.70486
459,85.40439,27.66800
460,85.30811,27.69975
461,85.30824,27.69992
462,85.30425,27.72148
463,85.30756,27.72109
464,85.30709,27.72098
465,85.30730,27.72094
466,85.30733,27.72088
467,85.30742,27.72088
468,85.30798,27.71956
469,85.30779,27.71956
470,85.33485,27.68760
471,85.33577,27.68712
472,85.33472,27.68605
473,85.33260,27.74377
474,85.32971,27.75209
475,85.33302,27.74993
476,85.43613,27.67182
477,85.31759,27.73646
478,85.31761,27.74848
479,85.31740,27.73649
480,85.31799,27.73589
481,85.35643,27.71528
482,85.42872,27.70304
483,85.42877,27.70314
484,85.34961,27.71399
485,85.42742,27.70343
486,85.41798,27.70513
487,85.41802,27.70500
488,85.41796,27.70530
489,85.41861,27.70627
490,85.41834,27.70609
491,85.41834,27.70629
492,85.41849,27.70596
493,85.34965,27.71472
494,85.42303,27.66472
495,85.35448,27.71534
496,85.42777,27.66823
497,85.37985,27.72257
498,85.37967,27.72265
499,85.35889,27.71713
500,85.35905,27.71704
501,85.35902,27.71688
502,85.37929,27.72305
503,85.37933,27.72307
504,85.37918,27.72311
505,85.37902,27.72324
506,85.34146,27.71201
507,85.34399,27.71348
508,85.34388,27.71367
509,85.34402,27.71366
510,85.36421,27.71562
511,85.32801,27.74382
512,85.33368,27.74054
513,85.32794,27.74391
514,85.32787,27.74384
515,85.33349,27.74065
516,85.32816,27.74379
517,85.31984,27.73321
518,85.32097,27.73478
519,85.28848,27.73307
520,85.29469,27.73014
521,85.42591,27.67521
522,85.42592,27.67529
523,85.42686,27.67610
524,85.42700,27.67603
525,85.42859,27.67461
526,85.42875,27.67467
527,85.42945,27.67593
528,85.42679,27.67340
529,85.42699,27.67361
