lon,lat,iml
80.5,30.95,0.183390439832
80.65,26,0.0919795735778
80.65,26.15,0.10081216167
80.65,26.3,0.119679263773
80.65,26.45,0.125388325078
80.65,26.6,0.1280987246
80.65,26.75,0.128019335035
80.65,26.9,0.135772708397
80.65,27.05,0.136005210289
80.65,27.2,0.138074599257
80.65,27.35,0.149430808135
80.65,27.5,0.152984241523
80.65,27.65,0.164298779332
80.65,27.8,0.178049232626
80.65,27.95,0.189771208169
80.65,28.1,0.198764396732
80.65,28.25,0.224681078213
80.65,28.4,0.243334857959
80.65,28.55,0.282575462661
80.65,28.7,0.351800985716
80.65,28.85,0.554236500521
80.65,29,0.535747194948
80.65,29.15,0.548879961474
80.65,29.3,0.544245371203
80.65,29.45,0.559324585619
80.65,29.6,0.50974612427
80.65,29.75,0.471067211878
80.65,29.9,0.390542270775
80.65,30.05,0.271154874835
80.65,30.2,0.220357249685
80.65,30.35,0.18896091278
80.65,30.5,0.17016490003
80.65,30.65,0.19605319989
80.65,30.8,0.179802931952
80.65,30.95,0.245978499072
80.8,26,0.0910792601733
80.8,26.15,0.108699036306
80.8,26.3,0.117137675728
80.8,26.45,0.12346430733
80.8,26.6,0.128067275331
80.8,26.75,0.134423340853
80.8,26.9,0.134164791786
80.8,27.05,0.140902006486
80.8,27.2,0.146194688559
80.8,27.35,0.148944966928
80.8,27.5,0.164948863578
80.8,27.65,0.173413881482
80.8,27.8,0.183834029564
80.8,27.95,0.191154001928
80.8,28.1,0.213239155666
80.8,28.25,0.236530979262
80.8,28.4,0.256675304975
80.8,28.55,0.301011824101
80.8,28.7,0.390858302752
80.8,28.85,0.507757606515
80.8,29,0.538795422023
80.8,29.15,0.630201472409
80.8,29.3,0.612600277304
80.8,29.45,0.52108090711
80.8,29.6,0.573612244538
80.8,29.75,0.453261447983
80.8,29.9,0.338975950288
80.8,30.05,0.252371561081
80.8,30.2,0.209663173648
80.8,30.35,0.183908120097
80.8,30.5,0.170565707384
80.8,30.65,0.173637201466
80.8,30.8,0.266332077623
80.8,30.95,0.293491891971
80.95,26,0.0896517066907
80.95,26.15,0.105844349973
80.95,26.3,0.119727636502
80.95,26.45,0.127052724874
80.95,26.6,0.13184688097
80.95,26.75,0.138357621307
80.95,26.9,0.136923569531
80.95,27.05,0.148419976648
80.95,27.2,0.154582418901
80.95,27.35,0.16136625351
80.95,27.5,0.170387512029
80.95,27.65,0.175084570248
80.95,27.8,0.193894554057
80.95,27.95,0.207698598789
80.95,28.1,0.224313194186
80.95,28.25,0.249332372331
80.95,28.4,0.279575648764
80.95,28.55,0.330375641121
80.95,28.7,0.447720104003
80.95,28.85,0.522989245502
80.95,29,0.540099088784
80.95,29.15,0.542402168239
80.95,29.3,0.534149575186
80.95,29.45,0.5128165289
80.95,29.6,0.488099979081
80.95,29.75,0.428909201678
80.95,29.9,0.301257515113
80.95,30.05,0.244558082936
80.95,30.2,0.219235557332
80.95,30.35,0.199407206994
80.95,30.5,0.195835488209
80.95,30.65,0.225817921277
80.95,30.8,0.351013974553
80.95,30.95,0.50895872312
81.1,26,0.0775785487173
81.1,26.15,0.102771048046
81.1,26.3,0.116302190918
81.1,26.45,0.124519515162
81.1,26.6,0.13226398137
81.1,26.75,0.14007804774
81.1,26.9,0.141755415813
81.1,27.05,0.1518625739
81.1,27.2,0.158128338074
81.1,27.35,0.165984414069
81.1,27.5,0.176389845513
81.1,27.65,0.186969896018
81.1,27.8,0.197464567747
81.1,27.95,0.219089972223
81.1,28.1,0.239815941307
81.1,28.25,0.26443075338
81.1,28.4,0.315394952307
81.1,28.55,0.389678568504
81.1,28.7,0.597600193508
81.1,28.85,0.541727117078
81.1,29,0.540966305148
81.1,29.15,0.542272092824
81.1,29.3,0.528073002785
81.1,29.45,0.506408176641
81.1,29.6,0.472606526978
81.1,29.75,0.395310906676
81.1,29.9,0.329054844716
81.1,30.05,0.302061377337
81.1,30.2,0.29210483701
81.1,30.35,0.333390283885
81.1,30.5,0.310476136939
81.1,30.65,0.466682459313
81.1,30.8,0.325526704574
81.1,30.95,0.509758581494
81.25,26,0.081722845248
81.25,26.15,0.101128335487
81.25,26.3,0.117038034442
81.25,26.45,0.126783063645
81.25,26.6,0.136090862405
