lon lat pga(cm/s/s)
85.1189 26.8334 16.27
85.1356 26.8334 17.1795
85.1523 26.8334 18.0042
85.169 26.8334 18.6119
85.1857 26.8334 18.8471
85.2024 26.8334 18.5546
85.2191 26.8334 17.6679
85.2358 26.8334 16.4758
85.2525 26.8334 15.3559
85.2692 26.8334 14.686
85.2859 26.8334 14.7202
85.3026 26.8334 15.2188
85.3193 26.8334 15.8183
85.336 26.8334 16.1557
85.3527 26.8334 15.9724
85.3694 26.8334 15.4297
85.3861 26.8334 14.7937
85.4028 26.8334 14.3305
85.4195 26.8334 14.2479
85.4362 26.8334 14.5204
85.4529 26.8334 15.0644
85.4696 26.8334 15.796
85.4863 26.8334 16.6174
85.503 26.8334 17.3733
85.5197 26.8334 17.8946
85.5364 26.8334 18.0118
85.5531 26.8334 17.6346
85.5698 26.8334 16.9886
85.5865 26.8334 16.378
85.6032 26.8334 16.1075
85.6199 26.8334 16.3729
85.6366 26.8334 16.9364
85.6533 26.8334 17.4514
85.67 26.8334 17.5716
85.6867 26.8334 17.0582
85.7034 26.8334 16.1026
85.7201 26.8334 15.0041
85.7368 26.8334 14.0618
85.7535 26.8334 13.5199
85.7702 26.8334 13.4038
85.7869 26.8334 13.6834
85.8036 26.8334 14.3293
85.8203 26.8334 15.2797
85.837 26.8334 16.3451
85.8537 26.8334 17.3043
85.8704 26.8334 17.9358
85.8871 26.8334 18.0718
85.9038 26.8334 17.7583
85.9205 26.8334 17.0948
85.9372 26.8334 16.1808
85.9539 26.8334 15.1434
85.9706 26.8334 14.2202
85.9873 26.8334 13.6764
86.004 26.8334 13.777
86.0207 26.8334 14.6615
86.0374 26.8334 15.9648
86.0541 26.8334 17.1962
86.0708 26.8334 17.8649
86.0875 26.8334 17.6363
86.1042 26.8334 16.8007
86.1209 26.8334 15.8048
86.1376 26.8334 15.0952
86.1543 26.8334 14.9881
86.171 26.8334 15.2779
86.1877 26.8334 15.6287
86.2044 26.8334 15.7043
86.2211 26.8334 15.2659
86.2378 26.8334 14.4627
86.2545 26.8334 13.5409
86.2712 26.8334 12.7468
86.2879 26.8334 12.2737
86.3046 26.8334 12.1033
86.3213 26.8334 12.1641
86.338 26.8334 12.3849
86.3547 26.8334 12.7023
86.3714 26.8334 13.0844
86.3881 26.8334 13.5071
86.4048 26.8334 13.9463
86.4215 26.8334 14.3689
86.4382 26.8334 14.7048
86.4549 26.8334 14.875
86.4716 26.8334 14.8002
86.4883 26.8334 14.435
86.505 26.8334 13.8677
86.5217 26.8334 13.2204
86.5384 26.8334 12.6152
86.5551 26.8334 12.1512
86.5718 26.8334 11.8373
86.5885 26.8334 11.6592
86.6052 26.8334 11.6028
86.6219 26.8334 11.6456
86.6386 26.8334 11.7305
86.6553 26.8334 11.7918
86.672 26.8334 11.7639
86.6887 26.8334 11.6048
86.7054 26.8334 11.3659
86.7221 26.8334 11.1224
86.7388 26.8334 10.9493
86.7555 26.8334 10.8894
86.7722 26.8334 10.8565
86.7889 26.8334 10.7321
86.8056 26.8334 10.3979
86.8223 26.8334 9.7971
86.839 26.8334 9.1198
86.8557 26.8334 8.6177
86.8724 26.8334 8.5425
86.8891 26.8334 9.0597
86.9058 26.8334 9.9894
86.9225 26.8334 11.0651
86.9392 26.8334 12.0207
86.9559 26.8334 12.5897
86.9726 26.8334 12.506
86.9893 26.8334 11.5031
84.0 26.8501 7.2273
84.0167 26.8501 6.6969
84.0334 26.8501 6.4722
84.0501 26.8501 6.501
84.0668 26.8501 6.7312
84.0835 26.8501 7.1106
84.1002 26.8501 7.5871
84.1169 26.8501 8.1086
84.1336 26.8501 8.6228
84.1503 26.8501 9.084
84.167 26.8501 9.4708
84.1837 26.8501 9.7683
84.2004 26.8501 9.9614
84.2171 26.8501 10.0447
84.2338 26.8501 10.0508
84.2505 26.8501 10.0218
84.2672 26.8501 10.0
84.2839 26.8501 10.0144
84.3006 26.8501 10.0414
84.3173 26.8501 10.0441
84.334 26.8501 9.986
84.3507 26.8501 9.8482
84.3674 26.8501 9.6848
84.3841 26.8501 9.5677
84.4008 26.8501 9.569
84.4175 26.8501 9.7407
84.4342 26.8501 10.0555
84.4509 26.8501 10.466
84.4676 26.8501 10.9249
84.4843 26.8501 11.3869
84.501 26.8501 11.8141
84.5177 26.8501 12.1707
84.5344 26.8501 12.4208
84.5511 26.8501 12.5322
84.5678 26.8501 12.4878
84.5845 26.8501 12.2741
84.6012 26.8501 11.8776
84.6179 26.8501 11.321
84.6346 26.8501 10.7716
84.6513 26.8501 10.4327
84.668 26.8501 10.5077
84.6847 26.8501 11.1161
84.7014 26.8501 12.0416
84.7181 26.8501 12.9839
84.7348 26.8501 13.6427
84.7515 26.8501 13.801
84.7682 26.8501 13.5738
84.7849 26.8501 13.1594
84.8016 26.8501 12.7557
84.8183 26.8501 12.5271
84.835 26.8501 12.5011
84.8517 26.8501 12.6714
84.8684 26.8501 13.0316
84.8851 26.8501 13.546
84.9018 26.8501 14.0611
84.9185 26.8501 14.3942
84.9352 26.8501 14.3626
84.9519 26.8501 13.8604
84.9686 26.8501 13.09
84.9853 26.8501 12.3304
85.002 26.8501 11.861
85.0187 26.8501 11.8851
85.0354 26.8501 12.3037
85.0521 26.8501 12.9418
85.0688 26.8501 13.6247
85.0855 26.8501 14.2262
85.1022 26.8501 14.816
85.1189 26.8501 15.5124
85.1356 26.8501 16.4339
85.1523 26.8501 17.618
85.169 26.8501 18.7792
85.1857 26.8501 19.5511
85.2024 26.8501 19.5676
85.2191 26.8501 18.6163
85.2358 26.8501 17.1019
85.2525 26.8501 15.5833
85.2692 26.8501 14.6192
85.2859 26.8501 14.5979
85.3026 26.8501 15.225
85.3193 26.8501 16.0358
85.336 26.8501 16.5653
85.3527 26.8501 16.474
85.3694 26.8501 15.9239
85.3861 26.8501 15.202
85.4028 26.8501 14.5958
85.4195 26.8501 14.3376
85.4362 26.8501 14.4409
85.4529 26.8501 14.8647
85.4696 26.8501 15.5678
85.4863 26.8501 16.4819
85.503 26.8501 17.4302
85.5197 26.8501 18.2088
85.5364 26.8501 18.6139
85.5531 26.8501 18.5172
85.5698 26.8501 18.092
85.5865 26.8501 17.5875
85.6032 26.8501 17.2525
85.6199 26.8501 17.2557
85.6366 26.8501 17.4443
85.6533 26.8501 17.5848
85.67 26.8501 17.4442
85.6867 26.8501 16.8679
85.7034 26.8501 16.0178
85.7201 26.8501 15.1345
85.7368 26.8501 14.4588
85.7535 26.8501 14.181
85.7702 26.8501 14.2914
85.7869 26.8501 14.73
85.8036 26.8501 15.4368
85.8203 26.8501 16.3331
85.837 26.8501 17.266
85.8537 26.8501 18.0638
85.8704 26.8501 18.555
